IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
150855333,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Tuesday,9/29/2015,23:05,NORTHERN,ARREST/ BOOKED,LAGUNA ST / FULTON ST,-122.4266425,37.77832763,(37.7783276318163/ -122.426642472038)
150855333,LARCENY/THEFT,LICENSE PLATE OR TAB/ THEFT OF,Tuesday,9/29/2015,23:05,NORTHERN,ARREST/ BOOKED,LAGUNA ST / FULTON ST,-122.4266425,37.77832763,(37.7783276318163/ -122.426642472038)
150855399,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,9/29/2015,23:01,SOUTHERN,ARREST/ BOOKED,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441,(37.7799444052046/ -122.414317857881)
150855399,WARRANTS,WARRANT ARREST,Tuesday,9/29/2015,23:01,SOUTHERN,ARREST/ BOOKED,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441,(37.7799444052046/ -122.414317857881)
150855399,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,9/29/2015,23:01,SOUTHERN,ARREST/ BOOKED,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441,(37.7799444052046/ -122.414317857881)
156241295,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,23:00,SOUTHERN,NONE,500 Block of NATOMA ST,-122.4082986,37.77976711,(37.7797671147527/ -122.408298620023)
150858365,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,9/29/2015,23:00,TARAVAL,NONE,1200 Block of 46TH AV,-122.5061931,37.76320446,(37.7632044590638/ -122.506193093334)
156246007,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,9/29/2015,22:55,SOUTHERN,NONE,0 Block of GOUGH ST,-122.4216421,37.77287658,(37.7728765820585/ -122.421642137718)
150855286,ROBBERY,ROBBERY/ ARMED WITH A GUN,Tuesday,9/29/2015,22:46,RICHMOND,ARREST/ BOOKED,JORDAN AV / GEARY BL,-122.4566243,37.7813664,(37.78136639696/ -122.456624280996)
150855173,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Tuesday,9/29/2015,22:45,CENTRAL,ARREST/ BOOKED,MASON ST / GEARY ST,-122.4098766,37.78714881,(37.787148807979/ -122.409876622532)
150855305,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Tuesday,9/29/2015,22:45,TENDERLOIN,ARREST/ BOOKED,HYDE ST / GOLDEN GATE AV,-122.4155082,37.78165428,(37.7816542806076/ -122.415508242782)
150855349,NON-CRIMINAL,AIDED CASE/ MENTAL DISTURBED,Tuesday,9/29/2015,22:39,TARAVAL,NONE,14TH AV / QUINTARA ST,-122.4705958,37.748868,(37.7488679961125/ -122.470595847264)
156241239,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,9/29/2015,22:36,CENTRAL,NONE,BROADWAY ST / FRONT ST,-122.3998757,37.79872923,(37.7987292250553/ -122.399875723567)
150861982,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,9/29/2015,22:32,CENTRAL,NONE,MASON ST / NORTHPOINT ST,-122.4137895,37.80655265,(37.8065526529839/ -122.413789467232)
150861982,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Tuesday,9/29/2015,22:32,CENTRAL,NONE,MASON ST / NORTHPOINT ST,-122.4137895,37.80655265,(37.8065526529839/ -122.413789467232)
150855242,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Tuesday,9/29/2015,22:30,RICHMOND,NONE,MARTIN LUTHER KING JR DR / 25TH AV,-122.4823722,37.76677022,(37.7667702165366/ -122.482372245817)
156241831,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,22:30,SOUTHERN,NONE,BRYANT ST / 2ND ST,-122.3936227,37.78307912,(37.7830791191471/ -122.393622739343)
150855612,LARCENY/THEFT,PETTY THEFT BICYCLE,Tuesday,9/29/2015,22:25,SOUTHERN,NONE,MISSION ST / 5TH ST,-122.406482,37.78273179,(37.7827317884887/ -122.406481972743)
150859880,BURGLARY,BURGLARY OF RESIDENCE/ UNLAWFUL ENTRY,Tuesday,9/29/2015,22:00,NORTHERN,NONE,300 Block of FULTON ST,-122.4225365,37.77879588,(37.7787958771466/ -122.422536478306)
150862849,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,22:00,SOUTHERN,NONE,10TH ST / HARRISON ST,-122.4112792,37.77157858,(37.7715785765043/ -122.411279189969)
150855640,ASSAULT,BATTERY/ FORMER SPOUSE OR DATING RELATIONSHIP,Tuesday,9/29/2015,22:00,INGLESIDE,NONE,100 Block of KELLOCH AV,-122.413386,37.70899512,(37.7089951218333/ -122.41338600281)
150874521,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,9/29/2015,22:00,TARAVAL,JUVENILE BOOKED,1800 Block of VICENTE ST,-122.4856038,37.73882143,(37.7388214326705/ -122.48560378101)
150860279,VANDALISM,VANDALISM WITH NOXIOUS CHEMICAL,Tuesday,9/29/2015,22:00,RICHMOND,NONE,3200 Block of GEARY BL,-122.453703,37.78178407,(37.7817840733425/ -122.453702980691)
150866625,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,9/29/2015,22:00,MISSION,NONE,4200 Block of 21ST ST,-122.4383188,37.75543162,(37.7554316240183/ -122.438318819245)
150855640,ASSAULT,BATTERY,Tuesday,9/29/2015,22:00,INGLESIDE,NONE,100 Block of KELLOCH AV,-122.413386,37.70899512,(37.7089951218333/ -122.41338600281)
150855214,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,22:00,NORTHERN,NONE,0 Block of MARINA BL,-122.4329516,37.80505202,(37.8050520228881/ -122.432951589917)
150874521,STOLEN PROPERTY,STOLEN PROPERTY/ POSSESSION WITH KNOWLEDGE/ RECEIVING,Tuesday,9/29/2015,22:00,TARAVAL,JUVENILE BOOKED,1800 Block of VICENTE ST,-122.4856038,37.73882143,(37.7388214326705/ -122.48560378101)
150855195,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Tuesday,9/29/2015,21:45,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054,(37.7725405391593/ -122.466204667893)
150855054,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,9/29/2015,21:40,CENTRAL,ARREST/ BOOKED,CALIFORNIA ST / SPRING ST,-122.4038307,37.79271566,(37.7927156636692/ -122.403830651922)
150855264,NON-CRIMINAL,AIDED CASE/ MENTAL DISTURBED,Tuesday,9/29/2015,21:38,SOUTHERN,NONE,0 Block of HOWARD ST,-122.3920364,37.79161942,(37.7916194222304/ -122.392036366343)
150855032,NON-CRIMINAL,AIDED CASE/ MENTAL DISTURBED,Tuesday,9/29/2015,21:37,PARK,NONE,FELL ST / MASONIC AV,-122.4459043,37.77299537,(37.7729953727174/ -122.445904271169)
156240849,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,21:30,SOUTHERN,NONE,10TH ST / HARRISON ST,-122.4112792,37.77157858,(37.7715785765043/ -122.411279189969)
156241728,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,21:30,SOUTHERN,NONE,100 Block of HAWTHORNE ST,-122.397071,37.78400302,(37.7840030154412/ -122.397071005597)
150855468,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,21:30,CENTRAL,NONE,2300 Block of POWELL ST,-122.4119793,37.80630928,(37.8063092771494/ -122.411979261433)
156242005,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM,Tuesday,9/29/2015,21:30,BAYVIEW,NONE,SAN BRUNO AV / GAVEN ST,-122.4065154,37.73401744,(37.7340174391715/ -122.406515437039)
150855026,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Tuesday,9/29/2015,21:30,CENTRAL,ARREST/ CITED,COLUMBUS AV / BROADWAY ST,-122.4066697,37.79786417,(37.7978641744394/ -122.406669739951)
156240554,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,21:15,BAYVIEW,NONE,400 Block of RHODEISLAND ST,-122.4025712,37.76412591,(37.7641259075201/ -122.402571216964)
150855452,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,21:10,NORTHERN,NONE,2100 Block of LOMBARD ST,-122.4368633,37.79961997,(37.7996199689993/ -122.436863337604)
150855270,VEHICLE THEFT,STOLEN MOTORCYCLE,Tuesday,9/29/2015,21:00,SOUTHERN,NONE,600 Block of 5TH ST,-122.397637,37.775598,(37.7755979963185/ -122.39763695321)
150856121,BURGLARY,BURGLARY/STORE UNDER CONSTRUCTION/ FORCIBLE ENTRY,Tuesday,9/29/2015,21:00,TENDERLOIN,NONE,0 Block of GROVE ST,-122.4156537,37.77871965,(37.7787196511256/ -122.41565370001)
156241035,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,9/29/2015,21:00,NORTHERN,NONE,3400 Block of BRODERICK ST,-122.4449207,37.80211158,(37.8021115841045/ -122.444920722759)
150855236,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,21:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,(37.775420706711/ -122.403404791479)
150855844,NON-CRIMINAL,DEATH REPORT/ CAUSE UNKNOWN,Tuesday,9/29/2015,21:00,SOUTHERN,NONE,100 Block of TOWNSEND ST,-122.3915888,37.77969101,(37.7796910137658/ -122.391588816975)
150856165,VANDALISM,MALICIOUS MISCHIEF/ BREAKING WINDOWS,Tuesday,9/29/2015,21:00,MISSION,NONE,2700 Block of 24TH ST,-122.4077348,37.75282474,(37.7528247417833/ -122.407734831168)
150856591,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,9/29/2015,21:00,MISSION,NONE,CASTRO ST / 18TH ST,-122.4350029,37.76088781,(37.7608878061194/ -122.435002864298)
150854987,ASSAULT,ASSAULT/ AGGRAVATED/ W/ GUN,Tuesday,9/29/2015,20:55,PARK,ARREST/ BOOKED,HAIGHT ST / STANYAN ST,-122.4535346,37.7691663,(37.7691662978052/ -122.45353456066)
150854987,WARRANTS,WARRANT ARREST,Tuesday,9/29/2015,20:55,PARK,ARREST/ BOOKED,HAIGHT ST / STANYAN ST,-122.4535346,37.7691663,(37.7691662978052/ -122.45353456066)
156241013,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,20:45,NORTHERN,NONE,LAGUNA ST / ROSE ST,-122.4256097,37.77319953,(37.77319952577/ -122.425609695333)
150854937,ROBBERY,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,Tuesday,9/29/2015,20:40,SOUTHERN,ARREST/ BOOKED,1100 Block of MARKET ST,-122.4135641,37.77951403,(37.779514030063/ -122.413564091744)
156240441,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,20:35,TARAVAL,NONE,15TH AV / IRVING ST,-122.4727899,37.76375001,(37.7637500110812/ -122.47278993845)
156240429,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM OF VEHICLES,Tuesday,9/29/2015,20:34,SOUTHERN,NONE,1700 Block of ALAMEDA ST,-122.4024486,37.76862184,(37.7686218429147/ -122.402448598316)
150854921,ASSAULT,BATTERY,Tuesday,9/29/2015,20:30,SOUTHERN,NONE,200 Block of FOLSOM ST,-122.3923477,37.78906036,(37.7890603555993/ -122.392347671978)
150857997,ASSAULT,INFLICT INJURY ON COHABITEE,Tuesday,9/29/2015,20:30,INGLESIDE,ARREST/ BOOKED,400 Block of ELLSWORTH ST,-122.4147379,37.73775405,(37.7377540491609/ -122.414737926118)
150857997,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,9/29/2015,20:30,INGLESIDE,ARREST/ BOOKED,400 Block of ELLSWORTH ST,-122.4147379,37.73775405,(37.7377540491609/ -122.414737926118)
150857997,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,9/29/2015,20:30,INGLESIDE,ARREST/ BOOKED,400 Block of ELLSWORTH ST,-122.4147379,37.73775405,(37.7377540491609/ -122.414737926118)
150854921,NON-CRIMINAL,AIDED CASE/ MENTAL DISTURBED,Tuesday,9/29/2015,20:30,SOUTHERN,NONE,200 Block of FOLSOM ST,-122.3923477,37.78906036,(37.7890603555993/ -122.392347671978)
150855082,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,20:30,RICHMOND,NONE,20TH AV / GEARY BL,-122.479384,37.7803327,(37.7803326972451/ -122.47938403981)
150857997,ASSAULT,FALSE IMPRISONMENT,Tuesday,9/29/2015,20:30,INGLESIDE,ARREST/ BOOKED,400 Block of ELLSWORTH ST,-122.4147379,37.73775405,(37.7377540491609/ -122.414737926118)
150854868,STOLEN PROPERTY,STOLEN PROPERTY/ POSSESSION WITH KNOWLEDGE/ RECEIVING,Tuesday,9/29/2015,20:30,MISSION,ARREST/ BOOKED,BRYANT ST / 25TH ST,-122.4089802,37.75120075,(37.7512007485625/ -122.408980216316)
156241007,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM,Tuesday,9/29/2015,20:15,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,(37.775420706711/ -122.403404791479)
150855747,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Tuesday,9/29/2015,20:15,INGLESIDE,NONE,400 Block of VELASCO AV,-122.4163713,37.70916814,(37.7091681376917/ -122.416371251331)
156240372,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,9/29/2015,20:10,SOUTHERN,NONE,4TH ST / MISSION ST,-122.4042702,37.78447885,(37.7844788538745/ -122.404270179486)
156241358,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,9/29/2015,20:00,SOUTHERN,NONE,700 Block of MISSION ST,-122.40307,37.78526863,(37.7852686309087/ -122.403070000847)
150864726,STOLEN PROPERTY,STOLEN PROPERTY/ POSSESSION WITH KNOWLEDGE/ RECEIVING,Tuesday,9/29/2015,20:00,SOUTHERN,ARREST/ BOOKED,1300 Block of MARKET ST,-122.4169911,37.77707419,(37.777074192256/ -122.416991089644)
150861318,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,9/29/2015,20:00,NORTHERN,NONE,1100 Block of ELLIS ST,-122.4259444,37.78313675,(37.7831367499779/ -122.425944356826)
150861318,LARCENY/THEFT,THEFT OF CHECKS OR CREDIT CARDS,Tuesday,9/29/2015,20:00,NORTHERN,NONE,1100 Block of ELLIS ST,-122.4259444,37.78313675,(37.7831367499779/ -122.425944356826)
156241289,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM,Tuesday,9/29/2015,20:00,SOUTHERN,NONE,HARRISON ST / CHESLEY ST,-122.4074093,37.77463814,(37.7746381361498/ -122.407409315181)
150857163,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,20:00,SOUTHERN,NONE,100 Block of HOWARD ST,-122.3929259,37.79091621,(37.7909162093657/ -122.392925908483)
150854915,NON-CRIMINAL,LOST PROPERTY,Tuesday,9/29/2015,20:00,SOUTHERN,NONE,MISSION ST / 5TH ST,-122.406482,37.78273179,(37.7827317884887/ -122.406481972743)
150854755,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Tuesday,9/29/2015,19:49,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,(37.775420706711/ -122.403404791479)
150855208,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,19:45,SOUTHERN,NONE,7TH ST / FOLSOM ST,-122.4078441,37.77674622,(37.7767462195389/ -122.407844136792)
150854783,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,9/29/2015,19:45,RICHMOND,ARREST/ BOOKED,800 Block of LA PLAYA ST,-122.5098954,37.7723132,(37.7723131976814/ -122.509895418239)
156245623,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,9/29/2015,19:30,SOUTHERN,NONE,800 Block of MISSION ST,-122.4053955,37.78351007,(37.7835100715421/ -122.405395493939)
150854761,ROBBERY,ATTEMPTED ROBBERY WITH A GUN,Tuesday,9/29/2015,19:30,BAYVIEW,NONE,3RD ST / WILLIAMS AV,-122.3926255,37.72928044,(37.7292804432175/ -122.392625489263)
156245601,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,9/29/2015,19:30,SOUTHERN,NONE,THE EMBARCADEROSOUTH ST / HOWARD ST,-122.3910043,37.79251827,(37.7925182655105/ -122.391004273278)
150855060,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,9/29/2015,19:20,NORTHERN,NONE,FRANKLIN ST / OAK ST,-122.4209627,37.77523115,(37.7752311468558/ -122.420962747171)
150855151,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,19:15,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,(37.775420706711/ -122.403404791479)
156240388,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM OF VEHICLES,Tuesday,9/29/2015,19:15,SOUTHERN,NONE,HOWARD ST / 5TH ST,-122.4049344,37.78149872,(37.7814987213218/ -122.404934413339)
156244471,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,19:10,CENTRAL,NONE,BROADWAY ST / DAVIS ST,-122.3986991,37.79888003,(37.7988800262599/ -122.398699116407)
150855430,MISSING PERSON,FOUND PERSON,Tuesday,9/29/2015,19:05,NORTHERN,NONE,1500 Block of EDDY ST,-122.4331778,37.78137581,(37.7813758100318/ -122.433177816267)
150855189,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,19:05,CENTRAL,NONE,1500 Block of THE EMBARCADERONORTH ST,-122.4081361,37.80786035,(37.8078603496682/ -122.408136108062)
150855430,MISSING PERSON,MISSING ADULT,Tuesday,9/29/2015,19:05,NORTHERN,NONE,1500 Block of EDDY ST,-122.4331778,37.78137581,(37.7813758100318/ -122.433177816267)
156240877,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,19:00,TARAVAL,NONE,2300 Block of 21ST AV,-122.4779693,37.74386803,(37.7438680340986/ -122.477969340405)
150862924,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,9/29/2015,19:00,SOUTHERN,NONE,1400 Block of FOLSOM ST,-122.4130732,37.77253839,(37.7725383928592/ -122.413073151419)
156245457,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,19:00,SOUTHERN,NONE,600 Block of BRYANT ST,-122.3991515,37.77862708,(37.77862707848/ -122.399151509541)
156240203,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM,Tuesday,9/29/2015,19:00,CENTRAL,NONE,0 Block of BROADWAY ST,-122.3992957,37.7988592,(37.798859198392/ -122.399295690795)
150862918,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,9/29/2015,19:00,NORTHERN,NONE,100 Block of PAGE ST,-122.4232028,37.77403947,(37.7740394663904/ -122.42320280363)
150857505,NON-CRIMINAL,LOST PROPERTY,Tuesday,9/29/2015,19:00,INGLESIDE,NONE,0 Block of TINGLEY ST,-122.4328565,37.72881817,(37.7288181700437/ -122.432856484578)
150857743,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,9/29/2015,19:00,INGLESIDE,NONE,300 Block of SILVER AV,-122.4299699,37.72848925,(37.728489252473/ -122.429969905093)
156243746,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,9/29/2015,19:00,SOUTHERN,NONE,0 Block of NEWMONTGOMERY ST,-122.4018172,37.7884405,(37.788440503956/ -122.401817240144)
150856870,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,9/29/2015,18:57,SOUTHERN,NONE,800 Block of MARKET ST,-122.4066906,37.78520719,(37.7852071918419/ -122.406690592261)
150857408,FRAUD,CREDIT CARD/ THEFT BY USE OF,Tuesday,9/29/2015,18:55,SOUTHERN,NONE,100 Block of 3RD ST,-122.400916,37.78545749,(37.7854574902997/ -122.400916029025)
150857408,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,9/29/2015,18:55,SOUTHERN,NONE,100 Block of 3RD ST,-122.400916,37.78545749,(37.7854574902997/ -122.400916029025)
150854692,WARRANTS,WARRANT ARREST,Tuesday,9/29/2015,18:50,MISSION,ARREST/ BOOKED,3100 Block of 21ST ST,-122.4172605,37.75707902,(37.7570790190504/ -122.417260520587)
156245576,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,9/29/2015,18:50,SOUTHERN,NONE,POWELL ST / MARKET ST,-122.4075459,37.78440118,(37.784401179486/ -122.407545855931)
150854777,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,9/29/2015,18:50,INGLESIDE,ARREST/ BOOKED,GENEVA AV / LONDON ST,-122.4402533,37.71604001,(37.7160400107849/ -122.440253342983)
156240184,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,18:45,CENTRAL,NONE,STOCKTON ST / PINE ST,-122.4073422,37.79129645,(37.7912964515689/ -122.40734222874)
150858086,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,9/29/2015,18:45,RICHMOND,NONE,500 Block of 9TH AV,-122.4672168,37.77800214,(37.7780021362442/ -122.467216834316)
150855220,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,18:45,NORTHERN,NONE,UNION ST / FILLMORE ST,-122.4354927,37.79708696,(37.7970869618782/ -122.43549274625)
150854846,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,9/29/2015,18:40,TENDERLOIN,NONE,MARKET ST / 9TH ST,-122.4162938,37.77749368,(37.777493677735/ -122.416293820935)
156242425,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,18:30,BAYVIEW,NONE,22ND ST / 3RD ST,-122.388318,37.75793942,(37.757939423202/ -122.388318045049)
156240996,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,18:30,NORTHERN,NONE,3000 Block of DIVISADERO ST,-122.4424438,37.79764678,(37.797646778706/ -122.44244375074)
156245758,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,18:30,SOUTHERN,NONE,500 Block of TOWNSEND ST,-122.4006151,37.77271738,(37.7727173825916/ -122.400615057546)
150854551,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Tuesday,9/29/2015,18:30,RICHMOND,NONE,400 Block of 6TH AV,-122.4642799,37.7800333,(37.7800332991006/ -122.464279879446)
